resume_text,skills,education,certifications,experience_years,job_title_similarity,label
"Experienced in Marketing, Python, and Deep Learning. Holds a PhD degree. Certified in PMP. 11 years of experience.","Java, Cybersecurity, Python",Bachelor's,AWS Certified,15,0.53,1
"Experienced in Python, Cybersecurity, and Marketing. Holds a Master's degree. Certified in Certified Ethical Hacker. 7 years of experience.","Marketing, Cybersecurity",Master's,None,12,0.54,0
"Experienced in Deep Learning, Marketing, and Cloud Computing. Holds a PhD degree. Certified in Google Data Analytics. 7 years of experience.","Cloud Computing, Java, Data Analysis",PhD,AWS Certified,17,0.75,1
"Experienced in Cybersecurity, Java, and Python. Holds a Bachelor's degree. Certified in PMP. 10 years of experience.","Cybersecurity, Cloud Computing, Marketing, Machine Learning",Master's,Google Data Analytics,8,0.23,1
"Experienced in SQL, Deep Learning, and Marketing. Holds a Master's degree. Certified in Certified Ethical Hacker. 5 years of experience.","Marketing, Data Analysis, Deep Learning, Python",Bachelor's,PMP,13,0.44,1
"Experienced in Cloud Computing, Machine Learning, and Data Analysis. Holds a Master's degree. Certified in PMP. 12 years of experience.","Python, Data Analysis",Bachelor's,Certified Ethical Hacker,11,0.35,0
"Experienced in Python, Project Management, and Cloud Computing. Holds a Bachelor's degree. Certified in None. 4 years of experience.","Python, Java, Cybersecurity, Marketing",High School,AWS Certified,16,0.72,0
"Experienced in Deep Learning, SQL, and SQL. Holds a Master's degree. Certified in PMP. 5 years of experience.","Machine Learning, SQL, Deep Learning",PhD,PMP,7,0.45,0
"Experienced in Deep Learning, Cybersecurity, and Java. Holds a Master's degree. Certified in PMP. 3 years of experience.","Marketing, Cybersecurity, Project Management, Cloud Computing",High School,Certified Ethical Hacker,10,0.73,0
"Experienced in Cybersecurity, Marketing, and Marketing. Holds a Master's degree. Certified in PMP. 13 years of experience.","Deep Learning, Python, Java",PhD,Certified Ethical Hacker,19,0.25,0
"Experienced in Data Analysis, Marketing, and Cybersecurity. Holds a High School degree. Certified in Google Data Analytics. 15 years of experience.","Python, Machine Learning, Java",Bachelor's,AWS Certified,3,0.24,0
"Experienced in Machine Learning, Cloud Computing, and SQL. Holds a PhD degree. Certified in Certified Ethical Hacker. 3 years of experience.","Cybersecurity, SQL",Bachelor's,Certified Ethical Hacker,7,0.67,1
"Experienced in Machine Learning, Python, and Machine Learning. Holds a Bachelor's degree. Certified in PMP. 12 years of experience.","Java, Cloud Computing, Data Analysis",High School,AWS Certified,18,0.8,1
"Experienced in Data Analysis, Machine Learning, and SQL. Holds a High School degree. Certified in Google Data Analytics. 1 years of experience.","Project Management, Python, Cybersecurity, SQL",Master's,PMP,16,0.62,1
"Experienced in Project Management, Java, and Data Analysis. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 9 years of experience.","SQL, Project Management",High School,Certified Ethical Hacker,2,0.79,1
"Experienced in Marketing, SQL, and SQL. Holds a High School degree. Certified in Google Data Analytics. 14 years of experience.","Cloud Computing, Java, SQL, Deep Learning",High School,Certified Ethical Hacker,8,0.24,1
